0.0400 2.6408 5.5728 11.0915 15.6618 21.1932 
0.4239 2.9685 5.7794 12.1156 17.9223 23.9984 
1.3600 4.3872 9.2077 19.3842 29.2677 39.4654 
1.7893 5.0958 10.8819 22.1976 33.2640 44.7253 
1.8945 5.0579 10.9612 22.2992 33.4260 44.7485 
1.9550 6.6391 13.8128 27.4363 42.2887 56.3458 
2.1469 7.0629 14.7013 29.4740 45.1695 59.9034 
2.2781 8.2456 17.1249 33.7825 51.4156 68.1283 
3.3626 9.7073 19.7541 39.5751 60.1315 79.2026 
3.7041 13.9341 28.2787 53.8256 80.9765 108.2395 
11.0848 44.7017 89.9140 180.1583 270.8032 362.3761 
19.2475 60.1450 121.0429 243.1009 346.4020 458.0480 
25.6010 81.6720 163.1134 325.9423 499.3588 655.3872 
31.2877 91.3258 181.7265 363.8345 546.8767 731.7775 
43.6156 143.0723 285.7614 584.8752 862.9775 1150.2796 
68.4256 224.0685 448.4814 894.3696 1348.2674 1801.5253 
198.3305 808.6866 1627.5537 3247.7711 4900.5354 6536.7907 
