0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.0872 0.0546 0.0399 0.0466 0.0401 0.0470 
0.0009 0.0000 0.0000 0.0000 0.0000 0.0000 
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.3579 0.2572 0.2680 0.2089 0.1824 0.2427 
0.0049 0.0001 0.0000 0.0000 0.0000 0.0000 
0.2891 0.1858 0.1378 0.1138 0.1051 0.0974 
0.0022 0.0001 0.0000 0.0000 0.0000 0.0000 
0.2831 0.2436 0.2453 0.1918 0.2016 0.1710 
0.0048 0.0001 0.0000 0.0000 0.0000 0.0000 
0.1947 0.1169 0.1118 0.0920 0.0864 0.0833 
0.1444 0.1061 0.0996 0.0915 0.0889 0.0807 
0.2077 0.1921 0.1929 0.1598 0.1500 0.1328 
0.0635 0.0390 0.0287 0.0207 0.0194 0.0179 
0.0128 0.0029 0.0001 0.0000 0.0000 0.0000 
0.2252 0.2302 0.2174 0.2129 0.2154 0.1998 
0.0633 0.0317 0.0247 0.0168 0.0127 0.0113 
