4.9200 9.9784 51.5396 103.3508 
7.0870 10.4217 54.4684 109.9094 
6.7582 9.8352 49.9367 101.1787 
6.6836 9.6137 49.6123 100.1322 
6.8426 9.8969 50.2379 101.8048 
6.5161 9.3703 49.4674 99.8693 
6.7174 10.3743 53.6275 109.9725 
6.9995 10.0000 49.9200 101.1584 
6.8632 10.0573 49.7211 100.2744 
6.8255 9.8165 49.7163 99.9743 
6.9595 10.0192 49.2004 98.6840 
6.9937 9.8999 49.1780 98.4236 
6.9485 10.0390 49.1008 99.0020 
7.0000 10.1000 49.5820 99.0516 
6.9610 10.0792 49.6416 99.7328 
7.2347 10.2047 49.9441 99.4789 
8.2496 11.6650 53.9533 107.0991 
