0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.0248 0.0000 0.0000 0.0000 0.0000 0.0000 
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.0560 0.0560 0.0560 0.0560 0.0560 0.0560 
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.0321 0.0256 0.0256 0.0064 0.0064 0.0064 
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.0909 0.0909 0.0909 0.0909 0.0909 0.0909 
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.0910 0.0342 0.0342 0.0264 0.0000 0.0000 
0.0712 0.0536 0.0458 0.0458 0.0405 0.0281 
0.1042 0.0750 0.0750 0.0750 0.0626 0.0707 
0.0282 0.0026 0.0026 0.0026 0.0031 0.0026 
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.1723 0.1723 0.1559 0.1328 0.1559 0.1195 
0.0212 0.0117 0.0059 0.0036 0.0023 0.0029 
